,forecasts,actuals,datetime
14,108.203545,138.58244,2022-01-18 00:00:00+01:00
15,116.45432,139.52,2022-01-18 01:00:00+01:00
16,117.73141,139.1717,2022-01-18 02:00:00+01:00
17,118.47943,138.82341,2022-01-18 03:00:00+01:00
18,118.880486,140.7117,2022-01-18 04:00:00+01:00
19,120.41512,142.6,2022-01-18 05:00:00+01:00
20,142.13849,148.76698,2022-01-18 06:00:00+01:00
21,140.55566,229.77988,2022-01-18 07:00:00+01:00
22,163.55013,260.59247,2022-01-18 08:00:00+01:00
23,167.24553,241.86,2022-01-18 09:00:00+01:00
24,168.35323,216.92563,2022-01-18 10:00:00+01:00
25,168.3639,189.01706,2022-01-18 11:00:00+01:00
26,166.28632,161.10847,2022-01-18 12:00:00+01:00
27,171.85217,146.06636,2022-01-18 13:00:00+01:00
28,169.85455,147.08766,2022-01-18 14:00:00+01:00
29,162.96892,143.275,2022-01-18 15:00:00+01:00
30,170.48466,148.3,2022-01-18 16:00:00+01:00
31,170.50223,151.07762,2022-01-18 17:00:00+01:00
32,162.96196,111.70401,2022-01-18 18:00:00+01:00
33,171.01689,143.73447,2022-01-18 19:00:00+01:00
34,168.945,134.23022,2022-01-18 20:00:00+01:00
35,168.59776,135.6915,2022-01-18 21:00:00+01:00
36,157.69348,137.15277,2022-01-18 22:00:00+01:00
37,129.75603,137.7277,2022-01-18 23:00:00+01:00
