,forecasts,actuals,datetime
14,138.61455,127.54,2022-01-22 00:00:00+01:00
15,130.15337,124.15,2022-01-22 01:00:00+01:00
16,126.49133,123.83,2022-01-22 02:00:00+01:00
17,125.83657,125.7,2022-01-22 03:00:00+01:00
18,125.76315,127.53,2022-01-22 04:00:00+01:00
19,125.88623,128.48,2022-01-22 05:00:00+01:00
20,125.923775,129.51,2022-01-22 06:00:00+01:00
21,125.249146,137.44,2022-01-22 07:00:00+01:00
22,121.96084,142.68,2022-01-22 08:00:00+01:00
23,130.33937,143.73,2022-01-22 09:00:00+01:00
24,134.77437,145.39,2022-01-22 10:00:00+01:00
25,137.01176,145.59,2022-01-22 11:00:00+01:00
26,137.4115,145.49,2022-01-22 12:00:00+01:00
27,137.46843,145.34,2022-01-22 13:00:00+01:00
28,137.81581,144.81,2022-01-22 14:00:00+01:00
29,137.9135,145.2,2022-01-22 15:00:00+01:00
30,138.18852,146.67,2022-01-22 16:00:00+01:00
31,138.48738,149.18,2022-01-22 17:00:00+01:00
32,138.4762,148.92,2022-01-22 18:00:00+01:00
33,138.4733,145.99,2022-01-22 19:00:00+01:00
34,138.44356,143.68,2022-01-22 20:00:00+01:00
35,138.3629,141.51,2022-01-22 21:00:00+01:00
36,138.53395,138.48,2022-01-22 22:00:00+01:00
37,138.29999,134.65,2022-01-22 23:00:00+01:00
