,forecasts,actuals,datetime
14,119.78308,133.14,2022-01-05 00:00:00+01:00
15,108.52796,123.38,2022-01-05 01:00:00+01:00
16,93.161766,111.65,2022-01-05 02:00:00+01:00
17,115.77734,103.37,2022-01-05 03:00:00+01:00
18,123.70925,105.86,2022-01-05 04:00:00+01:00
19,126.72996,121.68,2022-01-05 05:00:00+01:00
20,129.15694,138.33,2022-01-05 06:00:00+01:00
21,154.06569,138.75,2022-01-05 07:00:00+01:00
22,159.94063,138.79,2022-01-05 08:00:00+01:00
23,170.5079,139.15,2022-01-05 09:00:00+01:00
24,177.0653,139.08,2022-01-05 10:00:00+01:00
25,179.39217,138.07,2022-01-05 11:00:00+01:00
26,172.58195,136.93,2022-01-05 12:00:00+01:00
27,169.30048,136.87,2022-01-05 13:00:00+01:00
28,168.15416,136.61,2022-01-05 14:00:00+01:00
29,167.30168,137.05,2022-01-05 15:00:00+01:00
30,173.13853,141.67,2022-01-05 16:00:00+01:00
31,178.8103,148.09,2022-01-05 17:00:00+01:00
32,172.31976,143.76,2022-01-05 18:00:00+01:00
33,167.2398,140.09,2022-01-05 19:00:00+01:00
34,153.30446,137.65,2022-01-05 20:00:00+01:00
35,153.27003,139.0,2022-01-05 21:00:00+01:00
36,150.97621,136.92,2022-01-05 22:00:00+01:00
37,149.72638,135.52,2022-01-05 23:00:00+01:00
